	ああ	ah	Ah!	ах
牛乳	ぎゅうにゅう	gyuunyuu	milk	молоко
今日	きょう	kyou	today	сегодня
教室	きょうしつ	kyoushitsu	class room	классная комната
兄弟	きょうだい	kyoudai	siblings	Братья
去年	きょねん	kyonen	last year	в прошлом году
嫌い	きらい	kirai	unpleasant, not likable	неприязнь
切る	きる	kiru	to cut	Отрезать
着る	きる	kiru	to wear, to put on	носить
来る	くる	kuru	to come	приходить
	きれい	kirei	beautiful, clean	красивый
''	キロ	kiro	kg	Километр
''	キロ	kiro	km	Километр
銀行	ぎんこう	ginkou	bank	банк
金曜日	きんようび	kinyoubi	Friday	Пятница
Kanji	Furigana	Romaji	Meaning	Чувство
九	く	ku	nine	Девять
薬	くすり	kusuri	medicine	лекарство
下さい	ください	kudasai	give me…	Пожалуйста
果物	くだもの	kudamono	fruit	фрукт, плод, фрукты
口	くち	kuchi	mouth	рот
靴	くつ	kutsu	shoe	обувь
靴下	くつした	kutsushita	socks	носки
国	くに	kuni	country	страна
曇り	くもり	kumori	cloudy weather	облачный
暗い	くらい	kurai	dark	темный
''	ぐらい	gurai	about	О
''	クラス	kurasu	class	сорт
''	グラム	guramu	gram	Грамм
車	くるま	kuruma	car	машина
黒い	くろい	kuroi	black	черный
Kanji	Furigana	Romaji	Meaning	Чувство
今朝	けさ	kesa	this morning	Сегодня утром
消す	けす	kesu	to turn off, switch off	стереть
	けっこう	kekkou	fine, all right	Симпатичный
結婚	けっこん	kekkon	marriage	свадьба
月曜日	げつようび	getsuyoubi	Monday	Понедельник
玄関	げんかん	genkan	entrance of a house	вход
元気	げんき	genki	vigor, health, vitality	отлично
Kanji	Furigana	Romaji	Meaning	Чувство
〜個	〜こ	~ko	counterfor small objects	штука
五	ご	go	five	Пять
〜語	〜ご	~go	~ language	~ слово
公園	こうえん	kouen	park, large garden	парк
交番	こうばん	kouban	police box	Полицейская коробка
声	こえ	koe	voice	голос
''	コート	kooto	coat	Пальто
''	ここ	koko	here	здесь
午後	ごご	gogo	afternoon	полдень
九日	ここのか	kokonoka	9th day of a month, 9 days	Девятый день
九つ	ここのつ	kokonotsu	nine	девять
ご主人	ごしゅじん	goshujin	someone else’s husband	Муж
午前	ごぜん	gozen	morning, a.m.	утро
答える	こたえる	kotaeru	to answer	отвечать
''	こちら	kochira	this side, this place	Здесь
''	コップ	koppu	cup, glass	Чашка
今年	ことし	kotoshi	this year	в этом году
言葉	ことば	kotoba	phrase, language	слова
子供	こども	kodomo	child	ребенок
''	この	kono	this…	этот
御飯	ごはん	gohan	meal, cooked rice	рис
困る	こまる	komaru	to be in trouble	в беде
''	これ	kore	this	этот
''	ごろ	goro	around…	Время
今月	こんげつ	kongetsu	this month	в этом месяце
今週	こんしゅう	konshuu	this week	На этой неделе
''	こんな	konna	this sort of, this kind of	Такой
今晩	こんばん	konban	this evening	сегодня вечером
''	さあ	saa	well…	вот так, ну же
〜歳	〜さい	~sai	years old	~ лет
魚	さかな	sakana	fish	рыба
先	さき	saki	earlier, former	Приоритет
咲く	さく	saku	to blossom	цвести
作文	さくぶん	sakubun	composition	композиция, сочинение
	さす	sasu	to open an umbrella	Сдвиг
冊	〜さつ	~satsu	counterfor books	Книга
雑誌	ざっし	zasshi	magazine	журнал
砂糖	さとう	satou	sugar	сахар
寒い	さむい	samui	cold	холодный
再来年	さらいねん	sarainen	the year after next year	В следующем году
三	さん	san	three	три
''	〜さん	~san	Mr., Mrs.	~ MR
散歩	さんぽ	sanpo	to take a walk	прогулка
Kanji	Furigana	Romaji	Meaning	Перевод недоступен
四	し	shi	four	четыре
〜時	〜じ	~ji	o’clock	~ время
塩	しお	shio	salt	соль
''	しかし	shikashi	however, but	но
時間	じかん	jikan	time	время
〜時間	〜じかん	~jikan	~hours (classificator)	~ время
仕事	しごと	shigoto	work	работа
辞書	じしょ	jisho	dictionary	словарь
静か	しずか	shizuka	quiet	тихий
下	した	shita	under, below	под
質問	しつもん	shitsumon	question	вопрос
自転車	じてんしゃ	jitensha	bicycle	велосипед
自動車	じどうしゃ	jidousha	car, vehicle	машина
死ぬ	しぬ	shinu	to die, to pas away	умирать
字引	じびき	jibiki	dictionary	словарь
自分	じぶん	jibun	oneself	сам
閉まる	しまる	shimaru	to close	Быть закрытым
閉める	しめる	shimeru	to close	закрывать
締める	しめる	shimeru	to fasten a seatbelt	Затянуть
''	じゃ	ja	well, then	хорошо
写真	しゃしん	shashin	photo	фотография
''	シャツ	shatsu	shirt	рубашка
十	じゅう	juu	ten	Десять
~週間	〜しゅうかん	~shuukan	… weeks	~ Неделя
授業	じゅぎょう	jugyou	lesson, class	сорт
宿題	しゅくだい	shukudai	homework	Перевод недоступен
上手	じょうず	jouzu	to be good at something	хороший
丈夫	じょうぶ	joubu	to be strong, durable	Долговечный
醤油	しょうゆ	shouyu	soy sauce	соевый соус
食堂	しょくどう	shokudou	dining room, canteen	столовая
知る	しる	shiru	to know	знать
白い	しろい	shiroi	white	белый
〜人	〜じん	~jin	~an, ~ese (nationality)	~ люди
新聞	しんぶん	shinbun	newspaper	газета
Kanji	Furigana	Romaji	Meaning	Чувство
水曜日	すいようび	suiyoubi	Wednesday	Среда
吸う	すう	suu	to breathe, to smoke	вдыхать
''	スカート	sukaato	skirt	юбка
好き	すき	suki	to like	нравиться
〜過ぎ	〜すぎ	~sugi	past, over	~
''	すぐに	sugu ni	at once	немедленно
少し	すこし	sukoshi	a little	немного
涼しい	すずしい	suzushii	cool	прохладный
''	〜ずつ	~zutsu	each	~
''	ストーブ	sutoobu	stove, heater	Печь
''	スプーン	supuun	spoon	ложка
''	スポーツ	supootsu	sports	Спорт
''	ズボン	zubon	trousers	брюки
住む	すむ	sumu	to live, to reside somewhere	жить
''	スリッパ	surippa	slipper	Тапочки
''	する	suru	to do	делать
座る	すわる	suwaru	to sit	сидеть
Kanji	Furigana	Romaji	Meaning	Чувство
背	せい	sei	height	Назад
生徒	せいと	seito	student	студент
''	セーター	seetaa	sweater	свитер
石鹸	せっけん	sekken	soap	мыло
背広	せびろ	sebiro	jacket, suit	Подходить
狭い	せまい	semai	narrow	узкий
''	ゼロ	zero	zero	ноль
千	せん	sen	1,000, thousand	тысяча
先月	せんげつ	sengetsu	last month	в прошлом месяце
先週	せんしゅう	senshuu	last week	на прошлой неделе
先生	せんせい	sensei	teacher	учитель
洗濯	せんたく	sentaku	washing, to wash	прачечная
全部	ぜんぶ	zenbu	all	Все
Kanji	Furigana	Romaji	Meaning	Чувство
''	そう	sou	so	да
掃除	そうじ	souji	to clean	уборка
''	そうして	soushite	and then	Так
''	そこ	soko	there	Там
''	そちら	sochira	there (polite)	там
外	そと	soto	outside	Снаружи
''	その	sono	that…	а
''	そば	soba	next to	гречка
空	そら	sora	sky	Небо
''	それ	sore	that	что
''	それから	sorekara	after that	после этого
''	それでは	soredewa	then, well	Так
Kanji	Furigana	Romaji	Meaning	Чувство
〜台	〜だい	~dai	counter for machines	~ Стоять
大学	だいがく	daigaku	university	Университет
大使館	たいしかん	taishikan	embassy	посольство
大丈夫	だいじょうぶ	daijoubu	OK	Ты в порядке
大好き	だいすき	daisuki	to be very fond of	Очень нравится
大切	たいせつ	taisetsu	very important	важный
	たいてい	taitei	mostly, usually	в целом
台所	だいどころ	daidokoro	kitchen	кухня
大変	たいへん	taihen	very, serious	жесткий
高い	たかい	takai	high, expensive	дорогой
沢山	たくさん	takusan	many, much	много
''	タクシー	takushii	taxi	такси
出す	だす	dasu	to take out, hand in	Перевод недоступен
~達	〜たち	~tachi	more than one, and others	~
立つ	たつ	tatsu	to stand	стоять
建物	たてもの	tatemono	building	здание
楽しい	たのしい	tanoshii	pleasant, enjoyable	веселье
頼む	たのむ	tanomu	to ask, to request	просить
''	たばこ	tabako	cigarette	Сигарета
多分	たぶん	tabun	perhaps, probably	возможно
食べ物	たべもの	tabemono	food	еда
食べる	たべる	taberu	to eat	есть
卵	たまご	tamago	egg	яйцо
誰	だれ	dare	who?	Перевод недоступен
誕生日	たんじょうび	tanjoubi	birthday	день рождения
''	だんだん	dandan	gradually	постепенно
Kanji	Furigana	Romaji	Meaning	Чувство
小さい	ちいさい	chiisai	small	маленький
近い	ちかい	chikai	near, close	закрывать
違う	ちがう	chigau	different	другой
地下鉄	ちかてつ	chikatetsu	subway	метро
地図	ちず	chizu	map	карта
父	ちち	chichi	my father	отец
茶色	ちゃいろ	chairo	brown	коричневый
茶碗	ちゃわん	chawan	rice bowl	Чайная чаша
〜中	〜ちゅう	~chuu	in the middle of	~ Середина
''	ちょうど	choudo	just	только
''	ちょっと	chotto	a little	немного
Kanji	Furigana	Romaji	Meaning	Чувство
一日	ついたち	tsuitachi	the 1st day of a month	Один день
使う	つかう	tsukau	to use	использовать
疲れる	つかれる	tsukareru	to get tired	Устать
次	つぎ	tsugi	next	Следующий
着く	つく	tsuku	to arrive	приезжать
机	つくえ	tsukue	table	Перевод недоступен
作る	つくる	tsukuru	to make, to produce	делать
点ける	つける	tsukeru	to turn on	Продолжать
勤める	つとめる	tsutomeru	to work for someone	служить
詰らない	つまらない	tsumaranai	uninteresting	Неразличимый
冷たい	つめたい	tsumetai	cold	холодный
強い	つよい	tsuyoi	strong	сильный
Kanji	Furigana	Romaji	Meaning	Чувство
手	て	te	hand	рука
''	テープ	teepu	tape	лента
''	テープレコーダー	teepu rekoodaa	tape recorder	Магнитофон
''	テーブル	teeburu	table	стол
出かける	でかける	dekakeru	to go out	выходить
手紙	てがみ	tegami	letter	письмо
出来る	できる	dekiru	can	Будьте готовы
出口	でぐち	deguchi	exit	Выход
''	テスト	tesuto	test	тест
''	では	dewa	then, well	Затем
''	デパート	depaato	department store	Универмаг
''	でも	demo	but	но
出ます	でます	demasu	to leave	Перевод недоступен
''	テレビ	terebi	TV	телевизор
天気	てんき	tenki	weather	погода
電気	でんき	denki	electricity	электричество
電車	でんしゃ	densha	train	тренироваться
電話	でんわ	denwa	phone	телефон
Kanji	Furigana	Romaji	Meaning	Чувство
戸	と	to	door	дверь
〜度	〜ど	~do	~times, ~degree	~
''	ドア	doa	door	дверь
''	トイレ	toire	toilet, lavatory	туалет
''	どう	dou	how?	медь
''	どうして	doushite	why?	Почему
''	どうぞ	douzo	please, here you are	пожалуйста
動物	どうぶつ	doubutsu	animal	животное
''	どうも	doumo	thanks	Спасибо
十	とお	too	ten	Десять
遠い	とおい	tooi	far	далеко
十日	とおか	tooka	the 10th day of a month, 10 days	Десять дней
時々	ときどき	tokidoki	sometimes	иногда
時計	とけい	tokei	watch, clock	часы
''	どこ	doko	where?	где
所	ところ	tokoro	place	Место
図書館	としょかん	toshokan	library	библиотека
''	どちら	dochira	which, where (polite)	Или
''	とても	totemo	very much, quiet	очень
''	どなた	donata	who (polite)	кто это
隣り	となり	tonari	next to	Следующий
''	どの	dono	which?	Который
飛ぶ	とぶ	tobu	to fly	прыгать
止まる	とまる	tomaru	to stop	Останавливаться
友達	ともだち	tomodachi	friend	друг
土曜日	どようび	doyoubi	Saturday	Суббота
鳥	とり	tori	bird	птица
鶏肉	とりにく	toriniku	chicken meat	куриное мясо
取る	とる	toru	to take	брать
撮る	とる	toru	to take a photo	Сделайте снимок
''	どれ	dore	which?	который из
''	どんな	donna	what kind of?	Перевод недоступен
Kanji	Furigana	Romaji	Meaning	Чувство
''	ナイフ	naifu	knife	нож
中	なか	naka	inside	Середина
長い	ながい	nagai	long	длинный
鳴く	なく	naku	to sing, mew, moo	Раздавить
夏	なつ	natsu	summer	лето
夏休み	なつやすみ	natsuyasumi	summer vacation	Летние каникулы
''	〜など	~nado	and so on	~
七つ	ななつ	nanatsu	seven	Семь
何	なに	nani	what?	что
七日	なのか	nanoka	the 7th of a month, 7 days	Семь дней
名前	なまえ	namae	name	имя
習う	ならう	narau	to learn	Перевод недоступен
並ぶ	ならぶ	narabu	to form a line	расстановка
並べる	ならべる	naraberu	to line up	Быть устроенным
	なる	naru	to become	Быть
Kanji	Furigana	Romaji	Meaning	Чувство
二	に	ni	two	Перевод недоступен
賑やか	にぎやか	nigiyaka	lively	занятый
お肉	おにく	oniku	meat	Мясо
西	にし	nishi	west	Западный
〜日	〜にち	~nichi	…st, ..nd, ..th	~ день
日曜日	にちようび	nichiyoubi	Sunday	Воскресенье
荷物	にもつ	nimotsu	luggage	багаж
''	ニュース	nyuusu	news	новости
庭	にわ	niwa	garden	сад
〜人	~にん	~nin	… people	~ люди
Kanji	Furigana	Romaji	Meaning	Чувство
脱ぐ	ぬぐ	nugu	to take off clothes	Снимать
Kanji	Furigana	Romaji	Meaning	Перевод недоступен
''	ネクタイ	nekutai	necktie	галстук
寝る	ねる	neru	to go to bed	Перевод недоступен
〜年	〜ねん	~nen	~years	~ год
Kanji	Furigana	Romaji	Meaning	Чувство
''	ノート	nooto	notebook	Блокнот
登る	のぼる	noboru	to climb up	взбираться
飲物	のみもの	nomimono	drinks	напиток
飲む	のむ	nomu	to drink	Перевод недоступен
乗る	のる	noru	to take, to ride	ладить
Kanji	Furigana	Romaji	Meaning	Чувство
歯	は	ha	teeth	зубы
''	パーテイー	paateii	party	Вечеринка
''	はい	hai	yes	да
''	〜はい	~hai	cups of ~	~ Да
灰皿	はいざら	haizara	ashtray	пепельница
入る	はいる	hairu	to enter	входить
葉書	はがき	hagaki	postcard	открытка
履く	はく	haku	to put on shoes	носить
箱	はこ	hako	box	коробка
橋	はし	hashi	bridge	мост
箸	はし	hashi	chopsticks	палочки для еды
始まる	はじまる	hajimaru	to begin, to start	Начинать
始め	はじめ	hajime	start, the beginning	Начало
初めて	はじめて	hajimete	for the first time	в первый раз
走る	はしる	hashiru	to run	бегать
''	バス	basu	bus	автобус
''	バター	bataa	butter	масло
二十歳	はたち	hatachi	20 years old	20 лет
働く	はたらく	hataraku	to work	работа
八	はち	hachi	eight	Восемь
二十日	はつか	hatsuka	the 20th of the month, 20 days	20th
花	はな	hana	flower	цветок
鼻	はな	hana	nose	нос
話	はなし	hanashi	conversation, tale	Перевод недоступен
話す	はなす	hanasu	to talk, to speak, to tell	разговаривать
母	はは	haha	my mother	мать
早い	はやい	hayai	early	рано
速い	はやい	hayai	fast, quick	быстрый
春	はる	haru	spring	весна
張る	はる	haru	to put something on, to stick	Перевод недоступен
晴れる	はれる	hareru	to clear up	Прозрачный
〜半	〜はん	~han	Half~	~ половина
晩	ばん	ban	evening	ночь
~番	〜ばん	~ban	No.~, ranking	~
''	パン	pan	bread	хлеб
''	ハンカチ	hankachi	handkerchief	носовой платок
番号	ばんごう	bangou	number	число
晩ご飯	ばんごはん	bangohan	dinner	Ужин
半分	はんぶん	hanbun	half	половина
Kanji	Furigana	Romaji	Meaning	Чувство
東	ひがし	higashi	east	восток
〜匹	〜ひき	~hiki	counter for animals	~
引く	ひく	hiku	to pull	Тянуть
弾く	ひく	hiku	to play (an instrument)	играть
低い	ひくい	hikui	low	низкий
飛行機	ひこうき	hikouki	plane	самолет
左	ひだり	hidari	left	левый
人	ひと	hito	person	люди
一つ	ひとつ	hitotsu	one	один
一月	ひとつき	hitotsuki	one month	Январь
一人	ひとり	hitori	one person	Один человек
暇	ひま	hima	free time, leisure	свободное время
百	ひゃく	hyaku	hundred	сотня
病院	びょういん	byouin	hospital	больница
病気	びょうき	byouki	ill, sick	болезнь
平仮名	ひらがな	hiragana	hiragana characters	хирагана
昼	ひる	hiru	noon	полдень
昼ご飯	ひるごはん	hirugohan	lunch	Обед
広い	ひろい	hiroi	wide, spacious	широкий
Kanji	Furigana	Romaji	Meaning	Чувство
''	フィルム	firumu	film	фильм
封筒	ふうとう	fuutou	envelope	конверт
''	プール	puuru	pool	Бассейн
''	フォーク	fooku	fork	вилка
吹く	ふく	fuku	to blow (wind)	Дуть
服	ふく	fuku	clothes	одежда
二つ	ふたつ	futatsu	two	два
豚肉	ぶたにく	butaniku	pork	свинина
二人	ふたり	futari	two people	Два человека
二日	ふつか	futsuka	2nd day of the month, 2 days	Два дня
太い	ふとい	futoi	thick, fat	толстый
降る	ふる	furu	to fall (rain, snow)	Спуститься
古い	ふるい	furui	old	старый
お風呂	おふろ	ofuro	bath	Ванна
〜分	〜ふん	~fun	~minutes	~
Kanji	Furigana	Romaji	Meaning	Чувство
''	ページ	peeji	page	Перевод недоступен
下手	へた	heta	not good at something	бедный
''	ベッド	beddo	bed	кровать
部屋	へや	heya	room	комната
辺	へん	hen	side, part, area	Сторона
ペン	ぺん	pen	pen	ручка
勉強	べんきょう	benkyou	to study	изучать
便利	べんり	benri	convenient	Перевод недоступен
Kanji	Furigana	Romaji	Meaning	Чувство
方	ほう	hou	~より〜のほうが〜	направление
帽子	ぼうし	boushi	hat	шляп
''	ボールペン	boorupen	ballpen	Шариковая ручка
他	ほか	hoka	another, other	Другой
''	ポケット	poketto	pocket	карман
欲しい	ほしい	hoshii	to want something	хотеть
細い	ほそい	hosoi	thin, fine	тонкий
''	ボタン	botan	button	кнопка
''	ホテル	hoteru	hotel	Отель
本	ほん	hon	book	Книга
〜本	~ほん	~hon	counter for long objects	Перевод недоступен
本棚	ほんだな	hondana	bookshelf	Книжная полка
本当に	ほんとうに	hontouni	really	Действительно
Kanji	Furigana	Romaji	Meaning	Чувство
〜枚	〜まい	~mai	counter for thin objects	~
毎朝	まいあさ	maiasa	every morning	Перевод недоступен
毎月	まいつき/まいげつ	maitsuki/maigetsu	every month	ежемесячно
毎週	まいしゅう	maishuu	every week	Еженедельно
毎日	まいにち	mainichi	every day	каждый день
毎年	まいとし/まいねん	maitoshi/mainen	every year	Каждый год
毎晩	まいばん	maiban	every evening	каждую ночь
前	まえ	mae	front	до
〜前	〜まえ	~mae	before, in front of	~ до
曲がる	まがる	magaru	to turn	Сгибать
不味い	まずい	mazui	bad tasting	Перевод недоступен
''	また	mata	also, again	Также
''	まだ	mada	not yet	все еще
町	まち	machi	city, town	город
待つ	まつ	matsu	to wait	ждать
真直ぐに	まっすぐに	massugu ni	straight ahead	Прямой
''	マッチ	machi	matches	Соответствовать
窓	まど	mado	window	окно
丸い	まるい	marui	round	круглый
万	まん	man	ten thousand	Десять тысяч
万年筆	まんねんひつ	mannenhitsu	fountain pen	авторучка
Kanji	Furigana	Romaji	Meaning	Чувство
磨く	みがく	migaku	to polish, to brush	лак
右	みぎ	migi	right	верно
短い	みじかい	mijikai	short	короткий
お水	おみず	omizu	water	Перевод недоступен
店	みせ	mise	shop	магазин
見せる	みせる	miseru	to look, to watch	показывать
道	みち	michi	road	дорога
三日	みっか	mikka	3rd day of a month, 3 days	Три дня
三つ	みっつ	mittsu	three	три
皆さん	みなさん	minsan	everyone	каждый
南	みなみ	minami	south	Юг
耳	みみ	mimi	ear	ухо
見る	みる	miru	to see, to watch	смотреть
皆	みんな	minna	all, everyone	все
Kanji	Furigana	Romaji	Meaning	Чувство
六日	むいか	muika	the 6th day of a month, 6 days	Шесть дней
向こう	むこう	mukou	over there	Через
難しい	むずかしい	muzukashii	difficult	трудный
六つ	むっつ	muttsu	six	шесть
Kanji	Furigana	Romaji	Meaning	Чувство
目	め	me	eye	глаз
''	メートル	meetoru	meter	Метр
''	めがね	megane	a pair of glasses	Очки
Kanji	Furigana	Romaji	Meaning	Чувство
''	もう	mou	already, yet	уже
''	もう	mou	(one) more	уже
