Kanji;Kana;Romaji;Translation;Part of Speech;Translation RU
地下;ちか;chika;basement, cellar;Noun, Noun which may take the genitive case particle 'no';Подвал, погреб
近頃;ちかごろ;chikagoro;lately, recently;Adverb (fukushi), Noun, Noun which may take the genitive case particle 'no';в последнее время недавно
近道;ちかみち;chikamichi;short way, shortcut​;Noun, Suru verb, Intransitive verb;Короткий путь, ярлык
力強い;ちからづよい;chikarazuyoi;powerful, strong;I-adjective (keiyoushi);мощный, сильный
遅刻;ちこく;chikoku;lateness, late coming;Noun, Suru verb, Intransitive verb;опоздание, поздно
地区;ちく;chiku;district, section, sector;Noun;Район, раздел, сектор
地球;ちきゅう;chikyuu;the earth, the globe;Noun;Земля, земной шар
知能;ちのう;chinou;intelligence, brain;Noun;интеллект, мозг
知識;ちしき;chishiki;knowledge, information;Noun;Знание, информация
貯金;ちょきん;chokin;savings;Noun, Suru verb;сбережения
直接;ちょくせつ;chokusetsu;direct, immediate;Na-adjective (keiyodoshi), Noun, Noun which may take the genitive case particle 'no', Adverb (fukushi);прямой, немедленный
著者;ちょしゃ;chosha;author, writer;Noun;автор, писатель
頂上;ちょうじょう;choujou;top, summit, peak;Noun, Noun which may take the genitive case particle 'no';Верх, саммит, пик
長期;ちょうき;chouki;long-term;Noun which may take the genitive case particle 'no', Noun;долгосрочный
調査;ちょうさ;chousa;investigation, examination;Noun, Suru verb, Transitive verb;Расследование, экзамен
調子;ちょうし;choushi;tone, condition, health;Noun;Тон, состояние, здоровье
長所;ちょうしょ;chousho;strong point, merit, virtue;Noun;Сильная точка, заслуга, добродетель
朝食;ちょうしょく;choushoku;breakfast;Noun;завтрак
中学;ちゅうがく;chuugaku;middle school;Noun;средняя школа
中間;ちゅうかん;chuukan;middle, midway, center;Noun;середина, на полпути, в центре
中古;ちゅうこ;chuuko;used, second-hand;Noun which may take the genitive case particle 'no';Используется, подержанный
注目;ちゅうもく;chuumoku;notice, attention;Noun, Suru verb, Transitive verb, Intransitive verb;обратите внимание, внимание
注文;ちゅうもん;chuumon;order, request;Noun, Suru verb, Transitive verb;Заказ, запрос
駐車;ちゅうしゃ;chuusha;parking;Noun, Suru verb, Intransitive verb;стоянка
中止;ちゅうし;chuushi;suspension, stoppage;Noun, Suru verb, Transitive verb;Подвеска, остановка
中心;ちゅうしん;chuushin;center, middle, core;Noun, Noun which may take the genitive case particle 'no';Центр, средний, ядро
中心地;ちゅうしんち;chuushinchi;center, metropolis​;Noun;Центр, Метрополис
昼食;ちゅうしょく;chuushoku;lunch, midday meal;Noun;Обед, полуденный еда
中央;ちゅうおう;chuuou;centre, middle;Noun, Noun which may take the genitive case particle 'no';Центр, середина
代;よ;dai;cost, price​, generation;Noun;Стоимость, цена, поколение
大部分;だいぶぶん;daibubun;most part, majority;Noun;Большая часть, большинство
代表;だいひょう;daihyou;representative;Noun, Suru verb, Transitive verb;представитель
代表者;だいひょうしゃ;daihyousha;representative, delegate​;Noun;Представитель, делегат
大臣;だいじん;daijin;cabinet minister;Noun;министр
代金;だいきん;daikin;price, payment, cost;Noun;	плата; цена
代理;だいり;dairi;representation, agency;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no';представительство, агентство
大成功;だいせいこう;daiseikou;huge success​;Noun;Огромный успех
大小;だいしょう;daishou;sizes (various), large and small​;Noun;размеры (различные), большие и маленькие
大都会;だいとかい;daitokai;metropolis, big city​;Noun;Метрополис, Большой город
大統領;だいとうりょう;daitouryou;president, chief executive;Noun;Президент, исполнительный директор
黙る;だまる;damaru;to be silent;Godan verb with 'ru' ending, Intransitive verb;молчать
段;だん;dan;steps, stair, grade, rank;Noun, Counter;шаги, лестница, оценка, ранга
男女;だんじょ;danjo;men and women, both genders;Noun;Мужчины и женщины, оба пола
男子;だんし;danshi;youth, young man;Noun;Молодежь, молодой человек
団体;だんたい;dantai;organization, association;Noun;Организация, Ассоциация
出会い;であい;deai;meeting, encounter;Noun;Встреча, встреча
出会う;であう;deau;to meet (by chance);Godan verb with 'u' ending, Intransitive verb;встретиться (случайно)
出来事;できごと;dekigoto;incident, affair;Noun;инцидент, роман
電池;でんち;denchi;battery, cell​;Noun;батарея, ячейка
伝言;でんごん;dengon;verbal message;Noun, Suru verb, Transitive verb;устное сообщение
電球;でんきゅう;denkyuu;light bulb;Noun;лампочка
電子;でんし;denshi;electron;Noun;электрон
電子レンジ;でんしレンジ;denshi renji;microwave oven;Noun;микроволновая печь
伝統;でんとう;dentou;tradition, convention;Noun;Традиция, Конвенция
度;ど;do;degree, counter for occurrences​;Noun, Noun, used as a suffix, Counter;Степень, счетчик случаев
毒;どく;doku;poison, toxicant;Noun;Яд, токсикант
独立;どくりつ;dokuritsu;independence;Noun, Suru verb, Intransitive verb;Независимость
独身;どくしん;dokushin;single, unmarried;Noun which may take the genitive case particle 'no', Noun;Одинокий, не состоящий в браке
読書;どくしょ;dokusho;reading;Noun, Suru verb, Intransitive verb;чтение
独特;どくとく;dokutoku;peculiarity, uniqueness;Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi);особенность, уникальность
泥;どろ;doro;mud, dirt;Noun;грязь, грязь
努力;どりょく;doryoku;great effort, exertion;Noun, Suru verb, Intransitive verb;Большое усилие, нагрузка
同一;どういつ;douitsu;identical, same;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi);идентично, то же самое
当時;とうじ;touji;at that time, in those days;Noun, Adverb (fukushi);в то время, в те дни
同時;どうじ;douji;simultaneous, concurrent;Noun;Одновременный, одновременный
銅貨;どうか;douka;copper coin;Noun;медная монета
同級生;どうきゅうせい;doukyuusei;classmate;Noun;одноклассник
道路;どうろ;douro;road, highway;Noun;дорога, шоссе
同僚;どうりょう;douryou;coworker, colleague;Noun;коллега, коллега
動詞;どうし;doushi;verb;Noun;глагол
道徳;どうとく;doutoku;morals;Noun;мораль
同様;どうよう;douyou;identical, same;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun, Noun, used as a suffix;идентично, то же самое
柄;がら;e;handle, grip;Noun, Noun, used as a suffix;ручка, сцепление
描く;えがく;egaku;to draw, to paint;Godan verb with 'ku' ending, Transitive verb;рисовать, покрасить
笑顔;えがお;egao;smiling face;Noun;Улыбающееся лицо
永遠;えいえん;eien;eternity;Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi);вечность
営業;えいぎょう;eigyou;business, trade;Noun, Suru verb, Transitive verb;Бизнес, торговля
影響;えいきょう;eikyou;influence, effect;Noun, Suru verb, Intransitive verb;влияние, эффект
永久;えいきゅう;eikyuu;eternity;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no';вечность
衛星;えいせい;eisei;satellite;Noun;спутник
栄養;えいよう;eiyou;nutrition, nourishment;Noun;питание, питание
円;えん;en;Japanese money unit;Noun;Японская денежная единица
演技;えんぎ;engi;acting, performance;Noun, Suru verb, Intransitive verb;Действие, производительность
援助;えんじょ;enjo;assistance, aid;Noun, Suru verb, Transitive verb;помощь, помощь
延期;えんき;enki;postponement;Noun, Suru verb, Transitive verb;отсрочка
遠足;えんそく;ensoku;excursion, outing, trip​;Noun, Suru verb, Intransitive verb;Экскурсия, прогулка, поездка
演奏;えんそう;ensou;musical performance;Noun, Suru verb, Transitive verb;Музыкальное представление
演説;えんぜつ;enzetsu;speech, address;Noun, Suru verb, Intransitive verb;Речь, адрес
得る;える;eru;to get, to gain, to acquire;Ichidan verb, Transitive verb;получить, чтобы получить, приобрести
餌;えさ;esa;feed, bait;Noun;корм, приманка
不安;ふあん;fuan;anxiety, uneasiness;Noun, Na-adjective (keiyodoshi);беспокойство, беспокойство
縁;ふち;fuchi;rim, edge, brink;Noun;Rim, Edge, Brink
普段;ふだん;fudan;usual, habitual;Noun which may take the genitive case particle 'no', Noun;обычный, привычный
筆;ふで;fude;writing brush;Noun;Письменная кисть
笛;ふえ;fue;flute, pipe;Noun;флейта, труба
不平;ふへい;fuhei;complaint, dissatisfaction;Noun, Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi);Жалоба, неудовлетворенность
夫人;ふじん;fujin;wife, madam;Noun;жена, мадам
婦人;ふじん;fujin;woman, lady, adult female;Noun;Женщина, леди, взрослая женщина
不自由;ふじゆう;fujiyuu;discomfort, inconvenience;Noun, Na-adjective (keiyodoshi), Suru verb;дискомфорт, неудобства
不可;ふか;fuka;wrong, bad, improper;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun, Noun, used as a suffix;Неправильно, плохо, неправильно
不可能;ふかのう;fukanou;impossible;Na-adjective (keiyodoshi), Noun;невозможный
不幸;ふこう;fukou;unhappiness, sorrow;Noun, Na-adjective (keiyodoshi);несчастье, печаль
含む;ふくむ;fukumu;to contain, to comprise;Godan verb with 'mu' ending, Transitive verb;сдержать, включать
袋;ふくろ;fukuro;bag, sack;Noun;Сумка, мешок
服装;ふくそう;fukusou;garments, attire;Noun;одежда, одежда
不満;ふまん;fuman;dissatisfaction, displeasure;Noun, Na-adjective (keiyodoshi);неудовлетворенность, недовольство
雰囲気;ふんいき;fun’iki;atmosphere;Noun;атмосфера
触れる;ふれる;fureru;to touch, to feel;Ichidan verb, Intransitive verb;почувствовать, чувствовать
不利;ふり;furi;disadvantage, handicap;Noun, Na-adjective (keiyodoshi);Недостаток, гандикап
振る;ふる;furu;to wave, to shake;Godan verb with 'ru' ending, Transitive verb;помахать, встряхнуть
震える;ふるえる;furueru;to shiver, to shake;Ichidan verb, Intransitive verb;вздрогнуть, встряхнуть
防ぐ;ふせぐ;fusegu;to defend, to protect;Godan verb with 'gu' ending, Transitive verb;защищать, защищать
不正;ふせい;fusei;injustice, unfairness;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no';несправедливость, несправедливость
節;ふし;fushi;joint, knuckle, tune;Noun;сустав, кустарник, мелодия
不思議;ふしぎ;fushigi;wonder, miracle, strange;Na-adjective (keiyodoshi), Noun;Чудо, чудо, странно
不足;ふそく;fusoku;insufficiency;Noun, Suru verb, Intransitive verb, Na-adjective (keiyodoshi);недостаточность
双子;ふたご;futago;twins;Noun;двойняшки
沸騰;ふっとう;futtou;boiling, becoming heated;Noun, Suru verb, Intransitive verb;кипячение, становясь нагреванием
夫婦;ふうふ;fuufu;married couple, spouses;Noun;Супружеская пара, супруги
風景;ふうけい;fuukei;scenery, landscape;Noun, Noun which may take the genitive case particle 'no';пейзаж, пейзаж
不要;ふよう;fuyou;unnecessary, unneeded;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun;ненужный, ненужный
不用;ふよう;fuyou;disused, unused;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun;не используется, неиспользован
不用品;ふようひん;fuyouhin;disused article​;Noun;Заброшенная статья
害;がい;gai;injury, harm, damage;Noun;травма, вред, ущерб
外国語;がいこくご;gaikokugo;foreign language​;Noun;иностранный язык
外国産;がいこくさん;gaikokusan;of foreign manufacture​;Noun which may take the genitive case particle 'no';иностранного производства
外交;がいこう;gaikou;diplomacy;Noun;дипломатия
外食;がいしょく;gaishoku;eating out, dining out​;Noun, Suru verb, Intransitive verb;Еда вне дома, обеда
外出;がいしゅつ;gaishutsu;going out;Noun, Suru verb, Intransitive verb;выходя на улицу
画家;がか;gaka;painter, artist;Noun;Художник, художник
学期;がっき;gakki;school term;Noun;Школьный срок
楽器;がっき;gakki;musical instrument​;Noun, Noun which may take the genitive case particle 'no';Музыкальный инструмент
学;がく;gaku;learning, scholarship;Noun;Обучение, стипендия
学部;がくぶ;gakubu;department of a university​;Noun;кафедра университета
学問;がくもん;gakumon;learning, study;Noun, Suru verb, Intransitive verb;Обучение, учебу
学者;がくしゃ;gakusha;scholar;Noun;ученый
学習;がくしゅう;gakushuu;study, learning;Noun, Suru verb, Transitive verb;изучение, обучение
画面;がめん;gamen;terminal screen;Noun;Терминальный экран
柄;がら;gara;pattern, design;Noun, Noun, used as a suffix;шаблон, дизайн
芸術;げいじゅつ;geijutsu;art, the arts;Noun;Искусство, искусство
外科;げか;geka;surgery, department of surgery;Noun;Хирургия, Департамент хирургии
劇;げき;geki;drama, play;Noun;Драма, играй
劇場;げきじょう;gekijou;theater;Noun;театр
現場;げんば;genba;actual spot, scene;Noun;Фактическое место, сцена
現代;げんだい;gendai;nowadays, modern era;Noun, Noun which may take the genitive case particle 'no';В настоящее время, современная эра
言語;げんご;gengo;language;Noun;язык
現実;げんじつ;genjitsu;reality, actuality;Noun;Реальность, актуальность
現状;げんじょう;genjou;present condition;Noun, Noun which may take the genitive case particle 'no';нынешнее состояние
限界;げんかい;genkai;limit, bound;Noun, Noun which may take the genitive case particle 'no';предел, границы, рамки, в сочетаниях - предельный, граничный, критический
現金;げんきん;genkin;cash, ready money;Noun;наличные
現象;げんしょう;genshou;phenomenon;Noun;явление
減少;げんしょう;genshou;decrease, decline;Noun, Suru verb, Transitive verb, Intransitive verb, Noun which may take the genitive case particle 'no';уменьшить, упасть
現在;げんざい;genzai;now, current;Noun, Adverb (fukushi), Noun which may take the genitive case particle 'no';Теперь текущий
議長;ぎちょう;gichou;chairman;Noun;председатель
議員;ぎいん;giin;member of the Diet;Noun;член диеты
議会;ぎかい;gikai;congress, parliament;Noun;Конгресс, парламент
疑問;ぎもん;gimon;question, doubt;Noun;Вопрос, сомнение
義務;ぎむ;gimu;duty, obligation;Noun;долг, обязательство
銀;ぎん;gin;silver;Noun;серебро
議論;ぎろん;giron;argument, discussion;Noun, Suru verb, Transitive verb;Аргумент, обсуждение
技師;ぎし;gishi;engineer, technician;Noun;инженер, техник
語;ご;go;language;Noun, Noun, used as a suffix, Counter;язык
語学;ごがく;gogaku;language study;Noun;изучение языка
豪華;ごうか;gouka;wonderful, gorgeous;Na-adjective (keiyodoshi), Noun;Замечательно, великолепно
誤解;ごかい;gokai;misunderstanding;Noun, Suru verb, Transitive verb, Intransitive verb;недоразумение
極;きょく;goku;quite, very;Noun;очень, очень
塵;ゴミ;gomi;rubbish, trash;Noun;мусор, мусор
合格;ごうかく;goukaku;passing (exam), success;Noun, Suru verb, Intransitive verb;прохождение (экзамен), успех
合計;ごうけい;goukei;total amount;Noun, Suru verb, Transitive verb;Общая сумма
強盗;ごうとう;goutou;robber, mugger;Noun;грабитель, маггер
軍;ぐん;gun;army, troop;Noun;Армия, отряд
軍隊;ぐんたい;guntai;armed forces;Noun;вооруженные силы
具体;ぐたい;gutai;concrete, tangible;Noun;Бетон, осязаемый
偶然;ぐうぜん;guuzen;by chance, unexpectedly;Noun, Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no';случайно, неожиданно
逆;ぎゃく;gyaku;reverse, opposite;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun;Обратный, напротив
行儀;ぎょうぎ;gyougi;manners, behavior;Noun;Манеры, поведение
幅;はば;haba;width, breadth;Noun;Ширина, ширина
省く;はぶく;habuku;to omit, to leave out;Godan verb with 'ku' ending, Transitive verb;пропустить, оставить
肌;はだ;hada;skin;Noun;кожа
裸;はだか;hadaka;naked, nude;Noun, Noun which may take the genitive case particle 'no';обнаженная, обнаженная
派手;はで;hade;showy, flashy;Na-adjective (keiyodoshi), Noun;эффектный, роскошный
生える;はえる;haeru;to grow, to spring up;Ichidan verb, Intransitive verb;расти, чтобы выйти
激しい;はげしい;hageshii;violent, furious;I-adjective (keiyoushi);жестокий, яростный
母親;ははおや;hahaoya;mother;Noun;мать
灰;はい;hai;ashes;Noun;пепла
掃く;はく;haku;to sweep, to brush;Godan verb with 'ku' ending, Transitive verb;чтобы подметать, чистить
歯磨き;はみがき;hamigaki;brushing one’s teeth​;Noun, Suru verb, Intransitive verb;чистить зубы
配送;はいそう;haisou;delivery;Noun, Suru verb, Transitive verb;доставка
配達;はいたつ;haitatsu;delivery, distribution;Noun, Suru verb, Transitive verb;доставка, распределение
俳優;はいゆう;haiyuu;actor, actress;Noun;Актер, актриса
始まり;はじまり;hajimari;origin, beginning;Noun;Происхождение, начало
墓;はか;haka;grave, tomb;Noun;Могила, гробница
計る;はかる;hakaru;to measure, to weigh;Godan verb with 'ru' ending, Transitive verb;Чтобы измерить, взвесить
博士;はかせ;hakase;doctorate;Noun;докторская степень
発見;はっけん;hakken;discovery, finding;Noun, Suru verb, Transitive verb;Открытие, поиск
発行;はっこう;hakkou;issue, publishing;Noun, Suru verb, Transitive verb;Выпуск, публикация
履く;はく;haku;to wear, to put on;Godan verb with 'ku' ending, Transitive verb;носить, надеть
吐く;はく;haku;to vomit, to throw up;Godan verb with 'ku' ending, Transitive verb;вырвать, подбросить
博物館;はくぶつかん;hakubutsukan;museum;Noun;музей
拍手;はくしゅ;hakushu;applause;Noun, Suru verb, Intransitive verb;аплодисменты
花火;はなび;hanabi;fireworks;Noun;фейерверк
離れる;はなれる;hanareru;to be separated;Ichidan verb, Intransitive verb;быть разделенным
話し合う;はなしあう;hanashiau;to discuss;Godan verb with 'u' ending, Transitive verb;обсудить
話しかける;はなしかける;hanashikakeru;to start a conversation;Ichidan verb, Transitive verb;Чтобы начать разговор
離す;はなす;hanasu;to separate, to part;Godan verb with 'su' ending, Transitive verb;разделить, расставаться
放す;はなす;hanasu;to release, to let go;Godan verb with 'su' ending, Transitive verb;выпустить, отпустить
花束;はなたば;hanataba;bunch of flowers, bouquet​;Noun;куча цветов, букет
花屋;はなや;hanaya;florist, flower shop​;Noun;Флорист, цветочный магазин
羽;はね;hane;feather, down;Noun;Перо, вниз
販売;はんばい;hanbai;sales, selling;Noun, Suru verb, Transitive verb;Продажи, продажи
判断;はんだん;handan;judgment, decision;Noun, Suru verb, Transitive verb;суждение, решение
範囲;はんい;han’i;range, scope, extent;Noun;Диапазон, область применения, степень
反抗;はんこう;hankou;opposition, resistance;Noun, Suru verb, Intransitive verb;оппозиция, сопротивление
犯人;はんにん;hannin;offender, criminal;Noun;преступник, преступник
半年;はんとし;hantoshi;half year​;Noun, Adverb (fukushi);пол года
犯罪;はんざい;hanzai;crime, offense;Noun;преступление, преступление
発表;はっぴょう;happyou;announcement;Noun, Suru verb, Transitive verb;объявление
腹;はら;hara;abdomen, stomach;Noun;Живот, желудок
原;はら;hara;field, plain;Noun;поле, равнина
針;はり;hari;needle, pin;Noun;иглы, булавка
鋏;はさみ;hasami;scissors;Noun;ножницы
破産;はさん;hasan;bankruptcy;Noun, Suru verb, Intransitive verb;банкротство
端;はし;hashi;end, edge;Noun;конец, край
発車;はっしゃ;hassha;departure of a vehicle;Noun, Suru verb, Intransitive verb;выезд автомобиля
発生;はっせい;hassei;outbreak, occurrence;Noun, Suru verb, Intransitive verb;вспышка, возникновение
旗;はた;hata;flag;Noun;флаг
畑;はたけ;hatake;field;Noun;поле
働き;はたらき;hataraki;work, labor;Noun;работа, труд
発達;はったつ;hattatsu;development, growth;Noun, Suru verb, Intransitive verb;развитие, рост
発展;はってん;hatten;development, growth;Noun, Suru verb, Intransitive verb;развитие, рост
発売;はつばい;hatsubai;sale, launch (product)​;Noun, Suru verb, Transitive verb;Продажа, запуск (продукт)
発明;はつめい;hatsumei;invention;Noun, Suru verb, Transitive verb;изобретение
早めに;はやめに;hayame ni;ahead of time;Adverb (fukushi);заранее
外す;はずす;hazusu;to undo, to remove;Godan verb with 'su' ending, Transitive verb;отменить, удалить
塀;へい;hei;wall, fence;Noun;Стена, забор
平方メートル;へいほうメートル;heihou meetoru;square meter​;Noun;квадратный метр
平日;へいじつ;heijitsu;weekday, ordinary days;Adverb (fukushi), Noun;Будний день, обычные дни
平均;へいきん;heikin;average, mean;Noun, Suru verb, Transitive verb;средний, средний
平和;へいわ;heiwa;peace, harmony;Noun, Na-adjective (keiyodoshi);Мир, гармония
変化;へんか;henka;change, alteration;Noun, Suru verb, Intransitive verb;Изменение, изменение
変更;へんこう;henkou;change, modification;Noun, Suru verb, Transitive verb;изменение, модификация
返却;へんきゃく;henkyaku;return of something, repayment​;Noun, Suru verb, Transitive verb;возвращение чего -то, погашение
減らす;へらす;herasu;to abate, to decrease;Godan verb with 'su' ending, Transitive verb;чтобы уменьшить, уменьшить
減る;へる;heru;to decrease, to diminish;Godan verb with 'ru' ending, Intransitive verb;уменьшить, чтобы уменьшить
費;ひ;hi;cost, expense​;Noun, used as a suffix;Стоимость, расходы
冷える;ひえる;hieru;to grow cold, to get chilly;Ichidan verb, Intransitive verb;простудиться, чтобы прохлачиться
被害;ひがい;higai;(suffering) damage, harm;Noun;(страдание) ущерб, вред
